"ACAD_CAREER","ZIP_CODE","HEADCOUNT"
"MEDI","94598",1
"UGRD","-",6
"UGRD","NA",1
"UGRD","220",1
"UGRD","1074",1
"UGRD","1113",1
"UGRD","1119",1
"UGRD","2200",1
"UGRD","2441",1
"UGRD","3900",1
"UGRD","4000",1
"UGRD","4154",1
"UGRD","4760",1
"UGRD","8109",1
"UGRD","8123",1
"UGRD","8170",1
"UGRD","8901",1
"UGRD","8904",1
"UGRD","8913",1
"UGRD","00000",2
"UGRD","00730",1
"UGRD","01650",1
"UGRD","01721",1
"UGRD","01803",1
"UGRD","02038",1
"UGRD","02066",1
"UGRD","02081",1
"UGRD","02110",1
"UGRD","02148",2
"UGRD","02151",1
"UGRD","02189",1
"UGRD","02458",1
"UGRD","02474",1
"UGRD","02512",1
"UGRD","02556",1
"UGRD","02601",1
"UGRD","02719",1
"UGRD","02840",1
"UGRD","02852",1
"UGRD","02861",1
"UGRD","03102",1
"UGRD","03106",1
"UGRD","03777",1
"UGRD","03801",1
"UGRD","03867",1
"UGRD","03902",1
"UGRD","04307",1
"UGRD","04316",1
"UGRD","04605",1
"UGRD","04964",1
"UGRD","05403",1
"UGRD","05443",1
"UGRD","05771",1
"UGRD","05837",1
"UGRD","06002",1
"UGRD","06098",1
"UGRD","06118",1
"UGRD","06223",1
"UGRD","06360",1
"UGRD","06380",1
"UGRD","06403",1
"UGRD","06418",1
"UGRD","06605",1
"UGRD","06820",1
"UGRD","07648",1
"UGRD","07739",1
"UGRD","07751",1
"UGRD","07874",1
"UGRD","07932",1
"UGRD","08016",1
"UGRD","08081",1
"UGRD","08085",1
"UGRD","08201",1
"UGRD","08211",1
"UGRD","08232",1
"UGRD","08330",1
"UGRD","08534",1
"UGRD","08610",1
"UGRD","08721",1
"UGRD","08816",1
"UGRD","08817",1
"UGRD","08822",1
"UGRD","08827",1
"UGRD","09046",1
"UGRD","09180",1
"UGRD","10002",1
"UGRD","10029",1
"UGRD","10109",1
"UGRD","10202",1
"UGRD","10221",1
"UGRD","10303",1
"UGRD","10372",1
"UGRD","10453",1
"UGRD","10528",1
"UGRD","10803",1
"UGRD","10977",1
"UGRD","11000",2
"UGRD","11466",1
"UGRD","11566",1
"UGRD","11572",1
"UGRD","11577",1
"UGRD","11590",1
"UGRD","11660",1
"UGRD","11714",1
"UGRD","11743",1
"UGRD","12000",1
"UGRD","12243",1
"UGRD","124-0",1
"UGRD","12550",1
"UGRD","12760",1
